C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C1298634,Insidious onset [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C0154671,brain degenerative Disease (Degenerative brain disorder),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C0677932,progressive disease (Progressive Neoplastic Disease),Neoplastic Process,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C0002622,Loss Of Memory (Amnesia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0332152,Leading (Before) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0332152,Leading (Before) [Temporal Concept],Temporal Concept,C1298634,Insidious onset [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0332152,Leading (Before) [Temporal Concept],Temporal Concept,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0332152,Leading (Before) [Temporal Concept],Temporal Concept,C0154671,brain degenerative Disease (Degenerative brain disorder),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0332152,Leading (Before) [Temporal Concept],Temporal Concept,C0677932,progressive disease (Progressive Neoplastic Disease),Neoplastic Process,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0332152,Leading (Before) [Temporal Concept],Temporal Concept,C0002622,Loss Of Memory (Amnesia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0332152,Leading (Before) [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C1298634,Insidious onset [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0154671,brain degenerative Disease (Degenerative brain disorder),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0677932,progressive disease (Progressive Neoplastic Disease),Neoplastic Process,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0002622,Loss Of Memory (Amnesia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
