C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,C0001175,AIDS (Acquired Immunodeficiency Syndrome),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,ANOREXIA (Anorexia),Disease or Syndrome,C0001175,AIDS (Acquired Immunodeficiency Syndrome),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,ANOREXIA (Anorexia),Disease or Syndrome,C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0001175,AIDS (Acquired Immunodeficiency Syndrome),Disease or Syndrome,C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Disorder (Disease),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,It is the defining characteristic of the disorder ANOREXIA NERVOSA.Subjective evidence of disease perceived by the patient.An indication that a person has a condition or disease.
C0012634,Disorder (Disease),Disease or Syndrome,C0012634,Disease,Disease or Syndrome,It is the defining characteristic of the disorder ANOREXIA NERVOSA.Subjective evidence of disease perceived by the patient.An indication that a person has a condition or disease.
C0012634,Disorder (Disease),Disease or Syndrome,C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,It is the defining characteristic of the disorder ANOREXIA NERVOSA.Subjective evidence of disease perceived by the patient.An indication that a person has a condition or disease.
C0012634,condition (Disease),Disease or Syndrome,C0012634,Disease,Disease or Syndrome,It is the defining characteristic of the disorder ANOREXIA NERVOSA.Subjective evidence of disease perceived by the patient.An indication that a person has a condition or disease.
C0012634,condition (Disease),Disease or Syndrome,C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,It is the defining characteristic of the disorder ANOREXIA NERVOSA.Subjective evidence of disease perceived by the patient.An indication that a person has a condition or disease.
C0012634,Disease,Disease or Syndrome,C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,It is the defining characteristic of the disorder ANOREXIA NERVOSA.Subjective evidence of disease perceived by the patient.An indication that a person has a condition or disease.
C0042963,VOMITING (Vomiting),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0015967,FEVER (Fever),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0015672,FATIGUE (Fatigue),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0030193,PAIN (Pain),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0018681,HEADACHE (Headache),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0027497,NAUSEA (Nausea),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0015967,FEVER (Fever),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0015672,FATIGUE (Fatigue),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0030193,PAIN (Pain),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0018681,HEADACHE (Headache),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0027497,NAUSEA (Nausea),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0015967,FEVER (Fever),Sign or Symptom,C0015672,FATIGUE (Fatigue),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0015967,FEVER (Fever),Sign or Symptom,C0030193,PAIN (Pain),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0015967,FEVER (Fever),Sign or Symptom,C0018681,HEADACHE (Headache),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0015967,FEVER (Fever),Sign or Symptom,C0027497,NAUSEA (Nausea),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0015672,FATIGUE (Fatigue),Sign or Symptom,C0030193,PAIN (Pain),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0015672,FATIGUE (Fatigue),Sign or Symptom,C0018681,HEADACHE (Headache),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0015672,FATIGUE (Fatigue),Sign or Symptom,C0027497,NAUSEA (Nausea),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0030193,PAIN (Pain),Sign or Symptom,C0018681,HEADACHE (Headache),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0030193,PAIN (Pain),Sign or Symptom,C0027497,NAUSEA (Nausea),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0018681,HEADACHE (Headache),Sign or Symptom,C0027497,NAUSEA (Nausea),Sign or Symptom,"Some examples of symptoms are headache, fever, fatigue, nausea, vomiting, and pain."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0332283,Followed by [Temporal Concept],Temporal Concept,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0596170,Bouts of overeating (Binge eating disorder),Mental or Behavioral Dysfunction,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0039082,Syndrome,Disease or Syndrome,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0332283,Followed by [Temporal Concept],Temporal Concept,C0596170,Bouts of overeating (Binge eating disorder),Mental or Behavioral Dysfunction,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0332283,Followed by [Temporal Concept],Temporal Concept,C0039082,Syndrome,Disease or Syndrome,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0332283,Followed by [Temporal Concept],Temporal Concept,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0596170,Bouts of overeating (Binge eating disorder),Mental or Behavioral Dysfunction,C0039082,Syndrome,Disease or Syndrome,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
C0596170,Bouts of overeating (Binge eating disorder),Mental or Behavioral Dysfunction,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"A syndrome characterized by repeated bouts of overeating andan excessive preoccupation with the control of body weight,leading to a pattern of overeating followed by vomiting or useof purgatives."
